FTEN20200317801,MINIONS: THE RISE OF GRU (TRL. A) 2D,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,13/2/2020
FCEN20200317802,BLOODSHOT (2D),SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,13/2/2020
FTHD20200317821,BHOOT-PART ONE: THE HAUNTED SHIP,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,13/2/2020
FTJP20200317842,KAMEN RIDER REIWA THE FIRST GENERATION,ATRINAGA SDN BHD,LULUS BERSIH (LB),U,13/2/2020
FTEN20200317845,THE INVISIBLE MAN (STEPS PSA) 2D,UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,14/2/2020
FTBM20200317758,KENDERAAN BERAT IKUT KIRI,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,14/2/2020
FAJP20200317807,KONOSUBA : GOD'S BLESSING ON THIS WONDERFUL WORLD! - LEGEND OF CRIMSON -2D,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,14/2/2020
FCTM20200317762,ATHIGAARI,JHANGRI PRODUCTION HOUSE SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,14/2/2020
FCJP20200317888,KAMEN RIDER REIWA THE FIRST GENERATION,ATRINAGA SDN BHD,LULUS BERSIH (LB),P13,16/2/2020
FCHD20200317890,BHOOT-PART ONE: THE HAUNTED SHIP,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,17/2/2020
FCEN20200317947,THE HUNT (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS DENGAN PENGUBAHAN (LDP),18,18/2/2020
FCEN20200317952,THE INVISIBLE MAN (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),18,18/2/2020
FTEN20200317954,PETER RABBIT 2 (TRL. J) 2D,SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,18/2/2020
FCMY20200317990,MIDNIGHT -2D,GSC MOVIES SDN BHD,LULUS BERSIH (LB),P13,18/2/2020
FTEN20200317960,JUNGLE CRUISE (TRL. A) 2D,THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),U,19/2/2020
FTEN20200317961,JUNGLE CRUISE (TRL. A) 3D,THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),U,19/2/2020
FTEN20200317962,FREE GUY (TRL. A) 2D,THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),U,19/2/2020
FTEN20200317963,ARTEMIS FOWL (TRL. B) 2D,THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),U,19/2/2020
FTHD20200317967,THAPPAD,NUSANTARA SENI KARYA SDN. BHD.,LULUS BERSIH (LB),U,19/2/2020
FTEN20200318048,THE JACK IN THE BOX,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,19/2/2020
FCHD20200318033,THAPPAD,NUSANTARA SENI KARYA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,20/2/2020
FCTM20200318089,IRUL,KUMAN PICTURES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,20/2/2020
FCBM20200317726,ADA APA DENGAN DOSA,PENCIL PICTURES AND RECORDS SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,20/2/2020
